,CAGR,Volatility
XLK,0.22252630127188078,0.18919486814314063
QQQ,0.200819375289629,0.178183125274606
MTUM,0.15793918908622184,0.16171777404651116
SPY,0.14138534364683042,0.1448382671147264
QUAL,0.13465794991657254,0.14698969765586026
VLUE,0.1267822029241712,0.17360083804999152
SLV,0.11510794587869233,0.2897629186999223
XLF,0.11184316486070767,0.1819425996018404
USMV,0.10366111958470192,0.11605065187434065
XLU,0.10229864019903245,0.14899026978377308
XLV,0.10133745859472265,0.14046274641212503
GLD,0.09978273432020779,0.1511884311415983
IWM,0.09645750722605495,0.1967115769265555
XLP,0.08409867156149198,0.1268386147089155
VEA,0.08255879679014666,0.1498210830855095
EWJ,0.07725463066772842,0.13779704947340793
VNQ,0.0678361368049274,0.17236597594256034
VWO,0.06434397693075233,0.15924477034639267
XLE,0.06431439622774016,0.2778111932808508
HYG,0.04279579401913347,0.07042063921425172
EMB,0.03813808977221034,0.0937061408847448
LQD,0.03159876848360499,0.07618369215750663
DBC,0.02757314919220666,0.16826212540880414
TIP,0.023599040437969343,0.04903826064759012
AGG,0.020921842662747103,0.04728829132505686
IEF,0.01627502241726564,0.06331000933443146
TLT,0.009939531638030186,0.1315643648113903
